Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Age,Count_Children,Total_Value
Graduation,Married,79529.0,1.0,1.0,4.0,8.0,9.0,2.0,0,37.0,0.0,1638.0
PhD,Together,34578.0,1.0,1.0,1.0,0.0,2.0,6.0,0,51.0,0.9504464285714286,8.0
PhD,Married,46374.0,1.0,3.0,7.0,1.0,7.0,8.0,1,49.0,1.0,446.0
Graduation,Married,18351.0,1.0,1.0,2.0,0.0,3.0,7.0,0,33.0,0.0,43.0
PhD,Single,95169.0,1.0,1.0,4.0,3.0,4.0,1.0,1,36.0,0.0,1901.0
2n Cycle,Married,65370.0,1.0,1.0,2.0,3.0,13.0,1.0,0,39.0,0.0,461.0
Master,Divorced,39228.0,1.0,1.0,0.0,0.0,3.0,4.0,0,63.0,0.0,20.0
PhD,Single,84865.0,1.0,1.0,2.0,4.0,9.0,4.0,1,62.0,0.0,1688.0
Graduation,Married,61314.0,1.0,2.0,5.0,5.0,12.0,3.0,0,55.0,1.0,1008.0
Graduation,Single,21359.0,1.0,2.0,2.0,0.0,3.0,8.0,1,51.0,1.0,48.0
PhD,Married,66465.0,1.0,3.0,11.0,9.0,12.0,6.0,0,68.0,1.0,1485.0
2n Cycle,Single,81698.0,1.0,1.0,8.0,2.0,5.0,5.0,1,40.0,0.0,1104.0
Graduation,Single,39146.0,1.0,3.0,4.0,0.0,4.0,8.0,0,37.0,1.0,165.0
2n Cycle,Divorced,25959.0,1.0,2.0,1.0,2.0,2.0,6.0,1,53.0,2.0,56.0
Graduation,Together,64260.0,1.0,1.0,4.0,5.0,4.0,3.0,1,62.0,0.0,1574.0
Graduation,Married,32300.0,1.0,1.0,1.0,0.0,3.0,8.0,0,50.0,1.0,39.0
Master,Married,74806.0,1.0,2.0,5.0,4.0,5.0,4.0,0,58.0,1.0,965.0
Graduation,Divorced,72967.0,1.0,2.0,7.0,2.0,8.0,5.0,1,53.0,1.0,497.0
Graduation,Single,48904.0,1.0,4.0,7.0,2.0,4.0,8.0,0,63.0,1.0,371.0
2n Cycle,Married,14796.0,1.0,2.0,1.0,0.0,3.0,9.0,1,39.0,1.0,51.0
Master,Married,66991.0,1.0,3.0,4.0,8.0,6.0,3.0,0,69.0,0.0,1253.0
2n Cycle,Single,52195.0,2.0,1.0,1.0,0.0,2.0,8.0,0,45.0,0.9504464285714286,17.0
Graduation,Married,90369.0,2.0,1.0,4.0,6.0,6.0,1.0,1,67.0,0.0,1588.0
Basic,Married,18393.0,2.0,2.0,3.0,0.0,3.0,8.0,0,49.0,1.0,50.0
Graduation,Single,47139.0,2.0,2.0,2.0,1.0,2.0,7.0,1,71.0,2.0,83.0
Master,Married,38576.0,2.0,1.0,1.0,0.0,3.0,7.0,0,50.0,1.0,41.0
PhD,Together,61905.0,2.0,2.0,4.0,2.0,4.0,5.0,0,48.0,1.0,231.0
Graduation,Married,83715.0,2.0,1.0,2.0,8.0,13.0,0.0,0,61.0,0.0,926.0
Graduation,Married,60597.0,2.0,4.0,2.0,2.0,8.0,7.0,1,59.0,1.0,893.0
Master,Single,6560.0,2.0,0.0,1.0,0.0,1.0,5.316517857142857,0,41.0,0.0,373.0
Master,Together,48330.0,2.0,1.0,1.0,0.0,3.0,5.0,0,62.0,1.0,32.0
PhD,Single,38236.0,2.0,4.0,3.0,0.0,4.0,7.0,0,55.0,2.0,88.0
Master,Married,22701.0,2.0,1.0,1.0,0.0,3.0,5.0,0,46.0,1.0,24.0
Master,Divorced,53367.0,2.0,2.325,5.0,1.0,8.0,7.0,1,49.0,2.0,400.0
Graduation,Together,34728.0,2.0,1.0,1.0,1.0,2.0,6.0,1,37.0,1.0,36.0
Master,Married,63915.0,2.0,2.0,6.0,3.0,12.0,5.0,0,67.0,2.0,789.0
2n Cycle,Married,82504.0,2.0,1.0,3.0,6.0,7.0,1.0,0,63.0,0.0,1066.0
PhD,Single,38578.0,2.0,3.0,3.0,0.0,3.0,8.0,1,51.0,2.0,73.0
PhD,Single,38578.0,2.0,3.0,3.0,0.0,3.0,8.0,0,51.0,2.0,73.0
PhD,Married,79174.0,2.0,1.0,5.0,6.0,7.0,2.0,1,48.0,0.0,2043.0
2n Cycle,Divorced,81975.0,2.0,1.0,6.0,3.0,4.0,7.0,0,61.0,1.0,1588.0
Master,Married,43263.0,2.0,3.0,5.0,2.0,6.0,5.0,0,46.0,1.0,441.0
Graduation,Single,27242.0,2.0,2.0,2.0,0.0,3.0,9.0,1,53.0,1.0,106.0
Graduation,Married,76445.0,2.0,1.0,2.0,5.0,13.0,6.0,0,52.0,1.0,1410.0
Graduation,Together,75276.0,2.0,1.0,9.0,4.0,9.0,5.0,0,58.0,0.0,1040.0
Graduation,Widow,34213.0,2.0,3.0,3.0,1.0,2.0,9.0,1,60.0,2.0,117.0
PhD,Together,72335.0,2.0,1.0,10.0,4.0,8.0,8.0,1,47.0,0.0,2092.0
Master,Married,79143.0,2.0,1.0,6.0,9.0,13.0,3.0,0,59.0,0.0,1693.0
Graduation,Married,27469.0,2.0,1.0,0.0,0.0,3.0,6.0,0,76.0,0.0,17.0
Graduation,Together,68695.0,3.0,1.0,4.0,4.0,7.0,2.0,0,54.0,0.0,1091.0
Graduation,Together,68695.0,3.0,1.0,4.0,4.0,7.0,2.0,0,54.0,0.0,1091.0
Graduation,Single,50388.0,3.0,4.0,6.0,1.0,6.0,7.0,1,66.0,1.0,372.0
PhD,Together,77622.0,3.0,2.0,6.0,3.0,11.0,3.0,0,53.0,2.0,714.0
Graduation,Divorced,46102.0,3.0,1.0,1.0,0.0,2.0,7.0,0,61.0,0.9504464285714286,16.0
2n Cycle,Single,31859.0,3.0,1.0,1.0,0.0,3.0,7.0,0,43.0,1.0,48.0
2n Cycle,Single,23830.0,3.0,1.0,1.0,0.0,3.0,7.0,0,36.0,0.0,43.0
Graduation,Married,24639.0,3.0,3.0,2.0,0.0,4.0,6.0,0,50.0,2.0,44.0
PhD,Together,71604.0,3.0,1.0,8.0,3.0,5.0,4.0,1,78.0,0.0,1196.0
Graduation,Married,27255.0,3.0,1.0,1.0,0.0,3.0,7.0,0,39.0,1.0,37.0
Graduation,Together,55375.0,3.0,1.0,1.0,1.0,6.0,2.0,0,46.0,1.0,162.0
PhD,Married,77037.0,3.0,1.0,7.0,7.0,12.0,3.0,0,63.0,1.0,1123.0
Graduation,Single,24163.0,3.0,2.0,1.0,0.0,3.0,4.0,0,53.0,2.0,17.0
PhD,Together,69476.0,3.0,1.0,4.0,6.0,4.0,2.0,0,54.0,0.0,1044.0
Graduation,Married,72063.0,3.0,2.0,5.0,2.0,12.0,2.0,0,44.0,1.0,758.0
Master,Married,58646.0,3.0,1.0,2.0,1.0,4.0,4.0,0,61.0,1.0,140.0
Master,Married,58646.0,3.0,1.0,2.0,1.0,4.0,4.0,0,61.0,1.0,140.0
Master,Widow,47570.0,3.0,3.0,2.0,2.0,2.0,7.0,1,74.0,2.0,121.0
Graduation,Married,80011.0,3.0,2.0,8.0,6.0,5.0,4.0,0,43.0,1.0,1395.0
PhD,Single,54998.0,3.0,5.0,4.0,2.0,9.0,4.0,1,67.0,1.0,455.0
PhD,Single,60200.0,3.0,6.0,6.0,2.0,11.0,6.0,0,75.0,1.0,685.0
Graduation,Married,63211.0,3.0,2.0,3.0,8.0,7.0,2.0,1,41.0,0.0,1173.0
PhD,Single,48432.0,3.0,5.0,7.0,1.0,6.0,8.0,1,50.0,1.0,424.0
PhD,Divorced,48432.0,3.0,5.0,7.0,1.0,6.0,8.0,0,50.0,1.0,424.0
PhD,Divorced,48432.0,3.0,5.0,7.0,1.0,6.0,8.0,1,50.0,1.0,424.0
Master,Married,62845.0,3.0,2.325,3.0,4.0,10.0,8.0,0,74.0,2.0,1178.0
Master,Married,62845.0,3.0,2.325,3.0,4.0,10.0,8.0,1,74.0,2.0,1178.0
PhD,Together,65220.0,3.0,4.0,8.0,4.0,7.0,6.0,1,58.0,0.0,1282.0
PhD,Married,74214.0,3.0,1.0,8.0,2.0,5.0,5.0,0,33.0,0.0,1711.0
2n Cycle,Married,96547.0,4.0,0.0,7.0,6.0,8.0,2.0,1,43.0,0.0,809.0
Graduation,Together,53863.0,4.0,3.0,7.0,1.0,7.0,7.0,0,68.0,1.0,473.0
Graduation,Married,50447.0,4.0,1.0,3.0,1.0,3.0,6.0,0,53.0,2.0,148.0
Graduation,Married,37716.0,4.0,2.0,4.0,1.0,3.0,7.0,0,70.0,1.0,188.0
Graduation,Together,45203.0,4.0,1.0,3.0,1.0,3.0,6.0,1,41.0,2.0,147.0
Master,Married,37368.0,4.0,1.0,1.0,0.0,2.0,6.0,0,48.0,1.0,30.0
Graduation,Married,67225.0,4.0,3.0,7.0,2.0,11.0,5.0,0,68.0,1.0,868.0
Master,Together,65104.0,4.0,2.0,3.0,5.0,7.0,7.0,1,47.0,1.0,1053.0
Master,Together,65104.0,4.0,2.0,3.0,5.0,7.0,7.0,0,47.0,1.0,1053.0
Master,Married,81698.0,4.0,1.0,3.0,8.0,13.0,1.0,1,74.0,0.0,1008.0
Graduation,Single,70566.0,4.0,2.0,6.0,5.0,9.0,3.0,0,55.0,1.0,757.0
Graduation,Together,69096.0,4.0,1.0,5.0,2.0,10.0,4.0,0,65.0,1.0,653.0
Graduation,Married,71434.0,4.0,3.0,7.0,4.0,7.0,4.0,0,61.0,1.0,1400.0
Graduation,Married,33039.0,4.0,1.0,2.0,0.0,4.0,5.0,0,45.0,1.0,78.0
Graduation,Married,33039.0,4.0,1.0,2.0,0.0,4.0,5.0,0,45.0,1.0,78.0
Graduation,Together,46610.0,4.0,1.0,6.0,1.0,6.0,6.0,0,65.0,0.0,467.0
Graduation,Single,49967.0,4.0,3.0,6.0,1.0,5.0,7.0,0,65.0,1.0,306.0
Graduation,Married,53359.0,4.0,4.0,5.0,1.0,4.0,7.0,0,47.0,2.0,257.0
Master,Married,49505.0,4.0,2.325,10.0,2.0,8.0,8.0,0,52.0,2.0,751.0
Master,Married,68657.0,4.0,1.0,3.0,5.0,9.0,7.0,0,77.0,0.0,1196.0
Graduation,Divorced,72071.0,4.0,3.0,5.0,4.0,8.0,2.0,0,69.0,1.0,1338.0
Graduation,Divorced,72071.0,4.0,3.0,5.0,4.0,8.0,2.0,0,69.0,1.0,1338.0
Master,Single,59235.0,4.0,3.0,11.0,2.0,12.0,7.0,0,56.0,1.0,1128.0
Graduation,Together,21994.0,4.0,1.0,0.0,0.0,3.0,5.0,0,66.0,1.0,22.0
Graduation,Together,21994.0,4.0,1.0,0.0,0.0,3.0,5.0,0,66.0,1.0,22.0
PhD,Married,56145.0,4.0,2.325,7.0,2.0,8.0,9.0,0,66.0,0.9504464285714286,603.0
Graduation,Married,69209.0,4.0,2.0,5.0,3.0,6.0,4.0,0,51.0,0.0,1782.0
Graduation,Together,31928.0,5.0,2.0,3.0,0.0,4.0,7.0,0,34.0,1.0,72.0
PhD,Single,74004.0,5.0,1.0,4.0,6.0,4.0,3.0,1,36.0,0.0,1658.0
2n Cycle,Married,30390.0,5.0,1.0,2.0,0.0,3.0,6.0,0,36.0,0.0,80.0
Graduation,Married,21355.0,5.0,2.0,2.0,1.0,2.0,6.0,1,38.0,1.0,68.0
Graduation,Married,26304.0,5.0,1.0,1.0,0.0,2.0,7.0,0,54.0,1.0,16.0
2n Cycle,Married,85710.0,5.0,1.0,6.0,9.0,10.0,2.0,0,34.0,0.0,1062.0
Graduation,Divorced,102692.0,5.0,1.0,6.0,9.0,13.0,2.0,1,49.0,0.0,1112.0
Graduation,Single,58350.0,5.0,4.0,8.0,3.0,12.0,6.0,0,52.0,1.0,1001.0
Graduation,Single,7500.0,5.0,4.0,2.0,1.0,3.0,6.0,0,45.0,2.0,57.0
Master,Single,18890.0,5.0,1.0,0.0,1.0,2.0,6.0,1,39.0,0.0,35.0
Basic,Married,20425.0,5.0,2.0,2.0,0.0,3.0,7.0,0,37.0,1.0,57.0
Basic,Married,20425.0,5.0,2.0,2.0,0.0,3.0,7.0,0,37.0,1.0,57.0
PhD,Divorced,41437.0,5.0,1.0,1.0,0.0,3.0,7.0,0,66.0,2.0,32.0
Master,Together,49912.0,5.0,4.0,10.0,5.0,7.0,8.0,1,74.0,1.0,874.0
Master,Together,49912.0,5.0,4.0,10.0,5.0,7.0,8.0,1,74.0,1.0,874.0
Graduation,Married,79823.0,6.0,1.0,6.0,9.0,7.0,2.0,0,64.0,1.0,1518.0
Graduation,Divorced,85683.0,6.0,1.0,2.0,4.0,10.0,1.0,1,69.0,0.0,1789.0
PhD,Divorced,47025.0,6.0,1.0,1.0,0.0,2.0,7.0,0,58.0,2.0,20.0
PhD,Married,68397.0,6.0,1.0,6.0,9.0,5.0,3.0,0,47.0,1.0,1416.0
PhD,Married,38175.0,6.0,3.0,3.0,1.0,4.0,7.0,0,39.0,1.0,153.0
Master,Single,46423.0,6.0,3.0,2.0,0.0,4.0,7.0,0,51.0,2.0,92.0
Master,Single,46423.0,6.0,3.0,2.0,0.0,4.0,7.0,0,51.0,2.0,92.0
Master,Together,30560.0,6.0,1.0,1.0,0.0,3.0,7.0,0,47.0,1.0,31.0
Master,Together,30560.0,6.0,1.0,1.0,0.0,3.0,7.0,0,47.0,1.0,31.0
Graduation,Single,60152.0,6.0,1.0,6.0,4.0,12.0,3.0,0,44.0,1.0,943.0
Graduation,Together,29672.0,6.0,1.0,0.0,0.0,3.0,6.0,0,58.0,2.0,25.0
Graduation,Together,29672.0,6.0,1.0,0.0,0.0,3.0,6.0,0,58.0,2.0,25.0
Graduation,Together,70321.0,6.0,1.0,6.0,5.0,13.0,4.0,1,76.0,0.0,1376.0
Graduation,Married,56181.0,6.0,1.0,4.0,2.0,7.0,4.0,0,61.0,1.0,393.0
Basic,Married,24279.0,6.0,1.0,4.0,1.0,3.0,8.0,0,33.0,0.0,263.0
PhD,Married,68462.0,6.0,1.0,3.0,3.0,8.0,1.0,0,54.0,0.0,1670.0
PhD,Married,55424.0,6.0,4.0,7.0,5.0,9.0,6.0,1,47.0,1.0,877.0
Graduation,Married,49094.0,6.0,5.0,6.0,3.0,6.0,6.0,0,50.0,1.0,502.0
2n Cycle,Widow,59184.0,6.0,3.0,6.0,6.0,12.0,5.0,0,62.0,1.0,1072.0
Graduation,Together,67430.0,6.0,1.0,11.0,5.0,12.0,6.0,0,36.0,0.0,1364.0
Master,Married,30522.0,6.0,5.0,1.0,2.0,9.0,2.0,0,63.0,1.0,326.0
2n Cycle,Single,31878.0,7.0,1.0,1.0,0.0,4.0,3.0,0,46.0,1.0,70.0
Graduation,Single,83528.0,7.0,1.0,4.0,10.0,8.0,1.0,1,31.0,0.0,1650.0
Graduation,Together,90300.0,7.0,0.0,5.0,6.0,8.0,1.0,0,44.0,0.0,1738.0
Master,Single,68092.0,7.0,2.0,2.0,6.0,10.0,5.0,0,45.0,0.0,1281.0
Master,Married,53761.0,7.0,6.0,4.0,4.0,3.0,5.0,0,51.0,2.0,325.0
Graduation,Married,52845.0,7.0,3.0,8.0,8.0,6.0,6.0,0,50.0,1.0,936.0
Graduation,Married,24027.0,7.0,2.0,2.0,0.0,3.0,8.0,0,47.0,1.0,48.0
2n Cycle,Together,7500.0,7.0,4.0,3.0,2.0,2.0,7.0,0,44.0,1.0,53.0
Graduation,Together,42586.0,7.0,5.0,4.0,1.0,6.0,8.0,1,68.0,2.0,252.0
Graduation,Together,42586.0,7.0,5.0,4.0,1.0,6.0,8.0,1,68.0,2.0,252.0
Basic,Together,9722.0,7.0,4.0,3.0,1.0,3.0,8.0,1,50.0,1.0,103.0
PhD,Married,86836.0,7.0,1.0,6.0,10.0,6.0,5.0,1,48.0,0.0,557.0
Graduation,Married,30467.0,8.0,1.0,1.0,0.0,2.0,7.0,0,51.0,1.0,24.0
PhD,Married,54549.0,8.0,2.0,5.0,1.0,4.0,7.0,0,71.0,1.0,233.0
Graduation,Together,19444.0,8.0,3.0,4.0,1.0,2.0,7.0,1,41.0,1.0,54.0
Master,Together,69245.0,8.0,2.0,6.0,5.0,10.0,3.0,0,67.0,1.0,843.0
PhD,Divorced,72968.0,8.0,1.0,5.0,5.0,8.0,3.0,1,60.0,0.0,1958.0
Graduation,Married,48686.0,8.0,1.0,1.0,0.0,2.0,8.0,0,70.0,0.9504464285714286,20.0
Graduation,Married,73687.0,8.0,1.0,3.0,9.0,9.0,2.0,1,33.0,0.0,1627.0
PhD,Single,82716.0,8.0,1.0,6.0,8.0,13.0,2.0,0,79.0,0.0,1167.0
2n Cycle,Married,35523.0,8.0,2.0,3.0,0.0,3.0,7.0,0,42.0,1.0,66.0
PhD,Divorced,60554.0,8.0,2.0,8.0,4.0,9.0,6.0,0,48.0,1.0,811.0
Graduation,Together,64090.0,8.0,1.0,6.0,9.0,4.0,5.0,1,67.0,1.0,797.0
Graduation,Single,61559.0,8.0,1.0,4.0,2.0,10.0,3.0,0,58.0,1.0,530.0
PhD,Widow,71670.0,8.0,1.0,5.0,3.0,6.0,6.0,1,61.0,0.0,1766.0
PhD,Widow,67680.0,8.0,1.0,7.0,3.0,8.0,5.0,0,72.0,1.0,606.0
Graduation,Married,54386.0,8.0,2.0,3.0,2.0,10.0,3.0,0,42.0,1.0,470.0
PhD,Single,64108.0,8.0,4.0,6.0,9.0,11.0,5.0,0,70.0,1.0,1099.0
PhD,Together,69702.0,8.0,2.0,7.0,7.0,10.0,4.0,0,72.0,1.0,1039.0
Graduation,Single,47958.0,8.0,2.0,6.0,3.0,5.0,5.0,0,71.0,1.0,407.0
Graduation,Married,67716.0,8.0,4.0,7.0,4.0,13.0,5.0,0,63.0,1.0,1016.0
Graduation,Together,34600.0,8.0,5.0,5.0,2.0,5.0,8.0,1,52.0,2.0,318.0
Graduation,Together,34600.0,8.0,5.0,5.0,2.0,5.0,8.0,1,52.0,2.0,318.0
Graduation,Married,48752.0,8.0,5.0,6.0,1.0,5.0,9.0,1,54.0,2.0,316.0
2n Cycle,Married,15716.0,8.0,3.0,3.0,0.0,4.0,8.0,0,35.0,1.0,92.0
PhD,Divorced,46610.0,8.0,6.0,4.0,1.0,6.0,6.0,1,71.0,2.0,302.0
Graduation,Married,74985.0,8.0,1.0,3.0,6.0,7.0,2.0,0,46.0,0.0,1869.0
PhD,Single,45576.0,9.0,1.0,3.0,1.0,3.0,8.0,1,78.0,0.0,145.0
PhD,Single,113734.0,9.0,0.0,4.084821428571429,0.0,0.0,1.0,0,78.0,0.0,277.0
Graduation,Single,57100.0,9.0,2.0,3.0,2.0,7.0,3.0,0,36.0,1.0,311.0
Graduation,Married,24434.0,9.0,2.0,2.0,1.0,2.0,7.0,0,51.0,2.0,50.0
PhD,Married,37126.0,9.0,1.0,1.0,2.0,2.0,6.0,1,52.0,1.0,72.0
Graduation,Single,45160.0,9.0,1.0,1.0,0.0,2.0,7.0,0,65.0,2.0,21.0
Graduation,Together,33178.0,9.0,1.0,1.0,0.0,3.0,4.0,0,46.0,1.0,49.0
Master,Widow,64866.0,9.0,4.0,7.0,3.0,7.0,5.0,0,73.0,1.0,556.0
Master,Together,34176.0,9.0,1.0,1.0,0.0,3.0,3.0,0,48.0,1.0,28.0
Master,Single,50014.0,9.0,2.0,4.0,1.0,8.0,5.0,0,55.0,1.0,396.0
Graduation,Married,92344.0,9.0,0.0,5.0,10.0,5.0,1.0,0,75.0,0.0,1899.0
Master,Divorced,55282.0,9.0,1.0,3.0,1.0,6.0,4.0,0,53.0,1.0,235.0
PhD,Divorced,48799.0,9.0,3.0,3.0,2.0,7.0,3.0,0,60.0,1.0,331.0
PhD,Married,84169.0,9.0,1.0,7.0,6.0,6.0,3.0,1,41.0,0.0,1919.0
PhD,Married,84169.0,9.0,1.0,7.0,6.0,6.0,3.0,1,41.0,0.0,1919.0
Master,Single,39763.0,9.0,2.0,5.0,1.0,2.0,9.0,1,52.0,1.0,167.0
PhD,Divorced,74165.0,9.0,1.0,5.0,4.0,10.0,2.0,0,48.0,0.0,1293.0
Graduation,Single,42720.0,9.0,2.325,7.0,3.0,7.0,8.0,1,58.0,2.0,654.0
Graduation,Married,65275.0,9.0,1.0,4.0,3.0,13.0,2.0,0,79.0,0.0,746.0
Graduation,Married,36443.0,9.0,4.0,3.0,1.0,3.0,8.0,0,62.0,2.0,138.0
Master,Together,43776.0,9.0,6.0,5.0,2.0,4.0,8.0,1,71.0,2.0,275.0
Graduation,Together,56046.0,9.0,2.0,10.0,1.0,8.0,8.0,1,58.0,0.0,692.0
Graduation,Married,65148.0,9.0,2.0,6.0,6.0,7.0,4.0,0,65.0,1.0,1115.0
Graduation,Divorced,49431.0,9.0,2.0,7.0,1.0,5.0,8.0,0,68.0,1.0,365.0
PhD,Together,32583.0,10.0,1.0,1.0,0.0,2.0,7.0,0,62.0,2.0,9.0
Master,Single,16653.0,10.0,3.0,2.0,1.0,3.0,6.0,1,44.0,1.0,69.0
2n Cycle,Together,26850.0,10.0,4.0,2.0,1.0,4.0,4.0,0,52.0,2.0,63.0
Graduation,Married,51287.0,10.0,3.0,4.0,1.0,3.0,7.0,0,55.0,2.0,182.0
2n Cycle,Married,43050.0,10.0,2.0,2.0,0.0,4.0,5.0,0,50.0,1.0,76.0
Graduation,Married,73448.0,10.0,1.0,7.0,2.0,9.0,4.0,0,54.0,0.0,725.0
Basic,Married,17256.0,10.0,2.0,2.0,1.0,2.0,8.0,0,31.0,1.0,62.0
Graduation,Single,86429.0,10.0,0.0,7.0,4.0,7.0,2.0,1,62.0,0.0,1449.0
PhD,Married,33569.0,10.0,1.0,1.0,1.0,2.0,8.0,1,40.0,1.0,63.0
2n Cycle,Together,25130.0,10.0,2.0,2.0,0.0,3.0,7.0,0,43.0,1.0,50.0
Graduation,Married,62998.0,10.0,5.0,5.0,4.0,5.0,5.0,0,71.0,1.0,463.0
2n Cycle,Together,26907.0,10.0,2.0,1.0,0.0,3.0,7.0,0,47.0,2.0,22.0
2n Cycle,Together,26907.0,10.0,2.0,1.0,0.0,3.0,7.0,0,47.0,2.0,22.0
PhD,Married,45579.0,10.0,1.0,4.0,1.0,4.0,6.0,0,75.0,1.0,183.0
Graduation,Together,47320.0,10.0,6.0,5.0,1.0,8.0,6.0,0,66.0,1.0,414.0
PhD,Divorced,70179.0,10.0,3.0,7.0,3.0,13.0,5.0,0,47.0,1.0,1034.0
PhD,Divorced,70179.0,10.0,3.0,7.0,3.0,13.0,5.0,0,47.0,1.0,1034.0
Master,Married,28072.0,10.0,1.0,1.0,0.0,3.0,7.0,0,37.0,1.0,47.0
Graduation,Married,50501.0,10.0,2.325,5.0,4.0,4.0,6.0,1,69.0,2.0,500.0
Graduation,Together,58917.0,10.0,5.0,4.0,1.0,6.0,5.0,0,54.0,0.9504464285714286,282.0
Graduation,Together,69372.0,10.0,1.0,10.0,4.0,6.0,4.0,1,74.0,0.0,1381.0
Master,Married,35178.0,10.0,1.0,1.0,1.0,2.0,7.0,1,52.0,1.0,59.0
Master,Married,35178.0,10.0,1.0,1.0,1.0,2.0,7.0,1,52.0,1.0,59.0
Graduation,Divorced,75693.0,10.0,1.0,11.0,4.0,6.0,4.0,1,55.0,0.0,1442.0
Graduation,Married,69109.0,10.0,1.0,6.0,6.0,7.0,4.0,1,41.0,0.0,1555.0
Graduation,Married,69109.0,10.0,1.0,6.0,6.0,7.0,4.0,1,41.0,0.0,1555.0
Graduation,Together,80134.0,11.0,1.0,2.0,7.0,11.0,5.0,0,29.0,0.0,1378.0
Graduation,Divorced,64713.0,11.0,2.0,5.0,5.0,7.0,4.0,1,53.0,1.0,602.0
Graduation,Divorced,41411.0,11.0,1.0,2.0,1.0,4.0,6.0,0,37.0,0.0,139.0
Graduation,Married,52720.0,11.0,1.0,1.0,0.0,2.0,7.0,0,40.0,1.0,19.0
PhD,Single,55521.0,11.0,2.325,6.0,3.0,6.0,7.0,1,68.0,0.9504464285714286,446.0
Master,Together,43795.0,11.0,3.0,7.0,3.0,4.0,7.0,1,55.0,1.0,492.0
Graduation,Together,22070.0,11.0,2.0,2.0,2.0,2.0,6.0,0,53.0,1.0,67.0
Master,Married,36408.0,11.0,1.0,1.0,0.0,2.0,6.0,0,74.0,2.0,22.0
Graduation,Together,34026.0,11.0,3.0,2.0,1.0,3.0,5.0,0,73.0,2.0,76.0
Graduation,Together,34026.0,11.0,3.0,2.0,1.0,3.0,5.0,0,73.0,2.0,76.0
